City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
230,Boueni,YT,2021-11-08 03:27:05,-12.9025,45.0761,78.78,76,5,4.59,clear sky
231,Kruisfontein,ZA,2021-11-08 03:27:06,-34.0033,24.7314,56.88,89,100,4.32,overcast clouds
232,Deming,US,2021-11-08 03:27:06,32.2687,-107.7586,60.69,20,1,5.75,clear sky
233,San Juan De Los Lagos,MX,2021-11-08 03:27:07,21.25,-102.3,59.32,29,25,4.29,scattered clouds
234,Teguise,ES,2021-11-08 03:27:07,29.0605,-13.564,61.02,72,0,14.97,clear sky
235,Bani Walid,LY,2021-11-08 03:27:07,31.7566,13.9942,69.76,30,24,7.99,few clouds
236,Sao Filipe,CV,2021-11-08 03:22:56,14.8961,-24.4956,78.01,74,100,7.23,overcast clouds
237,Deloraine,AU,2021-11-08 03:27:09,-41.5333,146.6667,65.14,51,5,3.0,clear sky
238,Arrifes,PT,2021-11-08 03:27:10,37.7667,-25.7,68.23,77,40,16.11,scattered clouds
239,Jamame,SO,2021-11-08 03:27:10,0.0722,42.7506,78.96,70,100,8.14,overcast clouds
240,Shahreza,IR,2021-11-08 03:27:10,32.0339,51.8794,36.66,97,100,4.56,overcast clouds
241,Malakal,SS,2021-11-08 03:26:39,9.5334,31.6605,76.62,63,31,2.59,scattered clouds
242,Coihaique,CL,2021-11-08 03:27:11,-45.5752,-72.0662,44.55,81,0,2.3,clear sky
243,Phimai,TH,2021-11-08 03:27:11,15.2232,102.4947,85.23,73,70,15.5,broken clouds
244,Mastic Beach,US,2021-11-08 03:27:12,40.7668,-72.8521,51.98,75,1,0.0,clear sky
245,Saint-Pierre,RE,2021-11-08 03:27:12,-21.3393,55.4781,79.57,66,0,4.61,clear sky
246,Coahuayana,MX,2021-11-08 03:27:13,18.7333,-103.6833,76.73,87,100,2.1,overcast clouds
247,Calbuco,CL,2021-11-08 03:27:14,-41.768,-73.1273,52.81,94,99,2.71,overcast clouds
248,Kaitangata,NZ,2021-11-08 03:26:52,-46.2817,169.8464,62.92,77,90,6.71,overcast clouds
249,Tornio,FI,2021-11-08 03:27:14,65.8481,24.1466,17.62,73,4,4.85,clear sky
250,Mira,IT,2021-11-08 03:27:15,45.4358,12.1348,50.59,87,75,5.75,broken clouds
251,Sivas,TR,2021-11-08 03:27:15,39.7916,37.0019,38.03,69,40,2.3,scattered clouds
252,Akdepe,TM,2021-11-08 03:27:15,42.0551,59.3788,23.0,27,0,4.16,clear sky
253,Ponta Do Sol,PT,2021-11-08 03:27:16,32.6667,-17.1,66.83,66,14,6.64,few clouds
254,Goldap,PL,2021-11-08 03:27:16,54.3063,22.3036,43.18,84,100,16.98,overcast clouds
255,Siderno,IT,2021-11-08 03:27:16,38.2779,16.302,69.19,82,100,0.92,overcast clouds
256,Chara,RU,2021-11-08 03:27:17,56.9064,118.2631,11.5,69,98,1.07,overcast clouds
257,Singaraja,ID,2021-11-08 03:27:17,-8.112,115.0882,86.97,67,84,4.38,broken clouds
258,Aksu,CN,2021-11-08 03:27:18,41.1231,80.2644,30.76,25,0,2.15,clear sky
